molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id
CHEMBL2204997,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C,O=C(NCc1ccc[nH]c1=O)c1cc(-c2ccc(N3CCNCC3)nc2)cc2[nH]ncc12,121000.0,nM,3.91721462968355,4.31,7,2,541.70,1,99.15,40,CHEMBL2202955
CHEMBL3109075,O=C(O)[C@@H]1[C@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1,O=C(c1ccc2ccccc2c1)N1CC[C@@H](Cc2c[nH]c3ccccc23)C1,128000.0,nM,3.8927900303521312,4.48,2,2,398.46,0,73.40,30,CHEMBL3108732
CHEMBL2018855,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CN(CCc2csc3ccccc23)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,c1ccc2c(CCNC[C@@H]3CC[C@H](n4cnc5cncnc54)O3)csc2c1,132000.0,nM,3.8794260687941504,0.59,12,5,527.61,2,185.87,37,CHEMBL2016468
CHEMBL1916517,CN(C)CC1CC(c2ccc([N+](=O)[O-])cc2)=NO1,c1ccc(C2=NOCC2)cc1,150000.0,nM,3.8239087409443187,1.65,5,0,249.27,0,67.97,18,CHEMBL1914404
CHEMBL403716,O=[N+]([O-])c1ccc(C2=NC[C@H](CN3CCCC3)O2)cc1,c1ccc(C2=NC[C@H](CN3CCCC3)O2)cc1,150000.0,nM,3.8239087409443187,1.84,5,0,275.31,0,67.97,20,CHEMBL3414469
CHEMBL549412,NC(CCSC[C@H]1O[C@@H](n2cnc3c(Nc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,c1ccc(Nc2ncnc3c2ncn3[C@H]2CCCO2)cc1,154000.0,nM,3.8124792791635373,0.72,11,5,460.52,1,168.64,32,CHEMBL1151871
CHEMBL3126654,Cc1cc(Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)nc(N)n1,O=C(Nc1ccc(Nc2ccncn2)cc1)c1ccccc1,173000.0,nM,3.761953896871205,2.95,6,4,334.38,0,118.95,25,CHEMBL3124813
CHEMBL3126647,Cc1cc(Nc2ccccc2NC(=O)c2cccc(Nc3ccnc4ccccc34)c2)nc(N)n1,O=C(Nc1ccccc1Nc1ccncn1)c1cccc(Nc2ccnc3ccccc23)c1,174000.0,nM,3.7594507517174005,5.65,7,4,461.53,1,117.85,35,CHEMBL3124813
CHEMBL3263626,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CC(N)CC2CCCCC2)[C@@H](O)[C@H]1O,c1ncc2ncn([C@H]3CC[C@@H](CCCC4CCCCC4)O3)c2n1,179000.0,nM,3.7471469690201067,0.72,9,4,376.46,0,145.33,27,CHEMBL3259565
CHEMBL597113,O=C(O)COc1ccc(C(=O)c2cc(Br)ccc2OCC(=O)O)cc1,O=C(c1ccccc1)c1ccccc1,212000.0,nM,3.6736641390712483,2.61,5,2,409.19,0,110.13,25,CHEMBL1157722
