molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,framework,scaffold_idx
CHEMBL4454215,CCCc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(C)CC3)c2cc1OC,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,1900.0,nM,5.721246399047171,3.24,7.0,1.0,426.61,0.0,56.76,31.0,CHEMBL4346750,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,0
CHEMBL4096568,COc1cc2nc(C3CCOCC3)nc(NC3CCN(C)CC3)c2cc1OC,c1ccc2c(NC3CCNCC3)nc(C3CCOCC3)nc2c1,1910.0,nM,5.718966632752272,3.05,7.0,1.0,386.5,0.0,68.74,28.0,CHEMBL4004823,c1ccc2c(NC3CCNCC3)nc(C3CCOCC3)nc2c1,65
CHEMBL4850038,COc1cc2c(NCc3ccc([C@H]4CC[C@@H](C(=O)NO)CC4)cc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NCc3ccc(C4CCCCC4)cc3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1920.0,nM,5.71669877129645,7.07,8.0,3.0,612.77,2.0,109.09,45.0,CHEMBL4834403,c1coc(-c2cc(NCc3ccc(C4CCCCC4)cc3)c3ccc(OCCCN4CCCC4)cc3n2)c1,38
CHEMBL55934,O=C1C=CC(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,2000.0,nM,5.698970004336019,1.62,2.0,0.0,158.16,0.0,34.14,12.0,CHEMBL4184305,O=C1C=CC(=O)c2ccccc21,64
CHEMBL4283052,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCN(C)CC3)nc2cc1OCCC(C)C,c1ccc2c(NC3CCNCC3)nc(N3CCNCC3)nc2c1,2034.0,nM,5.6916490514132745,4.1,8.0,1.0,484.69,0.0,65.99,35.0,CHEMBL4261502,c1ccc2c(NC3CCNCC3)nc(N3CCNCC3)nc2c1,13
CHEMBL4202651,COc1cc2nc(-c3ccc(C)o3)cc(NC3CCN(C)CC3)c2cc1OC,c1coc(-c2cc(NC3CCNCC3)c3ccccc3n2)c1,2060.0,nM,5.686132779630847,4.33,6.0,1.0,381.48,0.0,59.76,28.0,CHEMBL4190398,c1coc(-c2cc(NC3CCNCC3)c3ccccc3n2)c1,26
CHEMBL4876993,COc1cc2c(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)cc(-c3ccc(C)o3)nc2cc1OCC1CCNCC1,c1cnc(N2CCC(CNc3cc(-c4ccco4)nc4cc(OCC5CCNCC5)ccc34)CC2)nc1,2065.0,nM,5.68507994400758,4.43,11.0,4.0,601.71,2.0,146.9,44.0,CHEMBL4834403,c1cnc(N2CCC(CNc3cc(-c4ccco4)nc4cc(OCC5CCNCC5)ccc34)CC2)nc1,66
CHEMBL4569449,COc1cc2c(cc1OCCCN1CCCC1)NC(c1ccccc1)CN=C2NC1CCN(C(C)C)CC1,c1ccc(C2CN=C(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3N2)cc1,2091.0,nM,5.679645967182328,4.94,7.0,2.0,519.73,1.0,61.36,38.0,CHEMBL4400539,c1ccc(C2CN=C(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3N2)cc1,67
CHEMBL1950962,CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SSSS3,O=C1C2NC(=O)[C@@]3(CC4=CC=CC[C@H]4N13)SSSS2,2100.0,nM,5.6777807052660805,0.99,8.0,2.0,390.53,0.0,81.08,23.0,CHEMBL1949536,O=C1C2NC(=O)C3(CC4=CC=CCC4N13)SSSS2,69
CHEMBL3926539,O=C1c2ccccc2-c2onc3c(N4CCCCC4)cc(NCCN4CCCC4)c1c23,O=C1c2ccccc2-c2onc3c(N4CCCCC4)cc(NCCN4CCCC4)c1c23,2180.0,nM,5.661543506395395,4.54,6.0,1.0,416.53,0.0,61.61,31.0,CHEMBL3856284,O=C1c2ccccc2-c2onc3c(N4CCCCC4)cc(NCCN4CCCC4)c1c23,70
CHEMBL4866673,COc1cc2c(NCc3ccc(-c4ccc(C(=O)NO)cc4)cc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1ccc(-c2ccc(CNc3cc(-c4ccco4)nc4cc(OCCCN5CCCC5)ccc34)cc2)cc1,2240.0,nM,5.649751981665837,7.07,8.0,3.0,606.72,2.0,109.09,45.0,CHEMBL4834403,c1ccc(-c2ccc(CNc3cc(-c4ccco4)nc4cc(OCCCN5CCCC5)ccc34)cc2)cc1,63
CHEMBL4458747,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1C(=O)NCCCCN,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,2340.0,nM,5.630784142589857,1.76,9.0,3.0,498.68,0.0,111.88,36.0,CHEMBL4346750,c1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1,0
