molecule_chembl_id,smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id
CHEMBL1829297,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(CC4CCCCC4)CC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)nc(N3CCCN(CC4CCCCC4)CC3)nc2cc1OCCCN1CCCC1,7.0,nM,8.154901959985743,5.88,9.0,1.0,621.92,2.0,69.23,45.0,CHEMBL1828613
CHEMBL4848955,COc1cc2nc(C)cc(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)c2cc1OC,c1cnc(N2CCC(CNc3ccnc4ccccc34)CC2)nc1,7.2,nM,8.142667503568731,2.80,9.0,3.0,452.52,0.0,121.73,33.0,CHEMBL4834403
CHEMBL1828637,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCCCC1,8.0,nM,8.096910013008056,5.10,9.0,1.0,581.85,2.0,69.23,42.0,CHEMBL1828613
CHEMBL4170114,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,8.0,nM,8.096910013008056,5.18,7.0,1.0,478.64,1.0,63.00,35.0,CHEMBL4130634
CHEMBL4290900,COc1cc2c(NC3CCN(Cc4ccccc4)CC3)nc(N3CCN(C)CC3)nc2cc1OCCCN(C)C,c1ccc(CN2CCC(Nc3nc(N4CCNCC4)nc4ccccc34)CC2)cc1,8.0,nM,8.096910013008056,3.80,9.0,1.0,547.75,1.0,69.23,40.0,CHEMBL4261502
CHEMBL1829299,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(Cc4ccccc4)CC3)nc2cc1OCCCN1CCCC1,c1ccc(CN2CCCN(c3nc(NC4CCNCC4)c4ccc(OCCCN5CCCC5)cc4n3)CC2)cc1,9.0,nM,8.045757490560675,5.50,9.0,1.0,615.87,2.0,69.23,45.0,CHEMBL1828613
CHEMBL4294283,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(CC4CCCCC4)CC3)c2cc1OC,c1ccc2c(NC3CCN(CC4CCCCC4)CC3)nc(N3CCCNCC3)nc2c1,10.0,nM,8.0,4.25,8.0,1.0,496.70,0.0,65.99,36.0,CHEMBL4261502
CHEMBL1829298,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(c4ccccc4)CC3)nc2cc1OCCCN1CCCC1,c1ccc(N2CCCN(c3nc(NC4CCNCC4)c4ccc(OCCCN5CCCC5)cc4n3)CC2)cc1,10.0,nM,8.0,5.50,9.0,1.0,601.84,2.0,69.23,44.0,CHEMBL1828613
CHEMBL1829293,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCCC1,10.0,nM,8.0,3.93,9.0,1.0,539.77,1.0,69.23,39.0,CHEMBL1828613
CHEMBL4747198,CCN1CC=C(c2cc(Nc3nc(C)cc(NC)n3)ccc2OC)CCC1,C1=C(c2cccc(Nc3ncccn3)c2)CCCNC1,10.5,nM,7.978810700930062,4.08,6.0,2.0,367.50,0.0,62.31,27.0,CHEMBL4725338
CHEMBL1829306,COc1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCN(C)CC3)nc2cc1OCCCN1CCCCC1,c1cc2c(NC3CCN(C4CCCCC4)CC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCCCC1,11.0,nM,7.958607314841775,5.24,9.0,1.0,593.86,2.0,69.23,43.0,CHEMBL1828613
CHEMBL4216144,COc1cc2c(NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CC4(CCNC4)C3)c3ccc(OCCCN4CCCC4)cc3n2)c1,11.0,nM,7.958607314841775,5.57,7.0,1.0,504.68,2.0,63.00,37.0,CHEMBL4190398
CHEMBL1231795,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,12.0,nM,7.920818753952375,5.84,7.0,1.0,509.74,2.0,62.75,37.0,CHEMBL1828613
CHEMBL4177036,COc1cc2c(NC3CCN(C)CC3)cc(C3=CCOCC3)nc2cc1OCCCN1CCCC1,C1=C(c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)CCOC1,12.0,nM,7.920818753952375,4.42,7.0,1.0,480.65,0.0,59.09,35.0,CHEMBL4130634
CHEMBL4205373,COc1cc2c(NC3CC4CCC(C3)N4C)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CC4CCC(C3)N4)c3ccc(OCCCN4CCCC4)cc3n2)c1,13.0,nM,7.886056647693163,5.71,7.0,1.0,504.68,2.0,63.00,37.0,CHEMBL4190398
CHEMBL3621579,COc1cc2nc(N3CCCN(C)CC3)cc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,c1ccc(CN2CCC(Nc3cc(N4CCCNCC4)nc4ccccc34)CC2)cc1,13.0,nM,7.886056647693163,4.47,7.0,1.0,489.66,0.0,53.10,36.0,CHEMBL3621101
CHEMBL4203647,COc1cc2c(NCC3CCN(C(C)C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NCC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,13.0,nM,7.886056647693163,6.21,7.0,1.0,520.72,2.0,63.00,38.0,CHEMBL4190398
CHEMBL2441080,COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCS(=O)(=O)CC3)nc2cc1OCCCN1CCCC1,O=S1(=O)CCN(c2nc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)CC1,14.0,nM,7.853871964321762,3.02,10.0,1.0,560.77,1.0,100.13,39.0,CHEMBL2440019
CHEMBL4582775,COc1cc2c(NC3CCN(C)CC3)nc(N3CCCN(C)CC3)nc2cc1C#CCN1CCCC1,C(#Cc1ccc2c(NC3CCNCC3)nc(N3CCCNCC3)nc2c1)CN1CCCC1,14.0,nM,7.853871964321762,2.73,8.0,1.0,491.68,0.0,60.00,36.0,CHEMBL4346750
